epoch,acc,auc,fn,fp,loss,lr,tn,tp,val_acc,val_auc,val_fn,val_fp,val_loss,val_tn,val_tp
0,0.688296,0.7407712,1016.0,795.0,0.6411481583539057,0.001,2110.0,1889.0,0.5863636,0.85476357,1183.0,0.0,1.6528439738533713,1430.0,247.0
1,0.80929434,0.8866447,606.0,502.0,0.42513457817793304,0.001,2403.0,2299.0,0.8111888,0.90082896,213.0,327.0,0.40173719974456135,1103.0,1217.0
2,0.83803785,0.92100465,485.0,456.0,0.3561085760721652,0.001,2449.0,2420.0,0.85244757,0.92705923,276.0,146.0,0.36026743641839576,1284.0,1154.0
3,0.86506027,0.9324979,392.0,392.0,0.3330751471798514,0.001,2513.0,2513.0,0.82482517,0.91552866,159.0,342.0,0.4335165376175794,1088.0,1271.0
4,0.8746988,0.9448981,361.0,367.0,0.30059364089251794,0.001,2538.0,2544.0,0.8839161,0.95553446,178.0,154.0,0.2895190030665274,1276.0,1252.0
5,0.88296044,0.9503707,347.0,333.0,0.2845609373927578,0.001,2572.0,2558.0,0.85944057,0.94353896,362.0,40.0,0.410552302114926,1390.0,1068.0
6,0.8919105,0.9551323,337.0,291.0,0.26802603250109747,0.001,2614.0,2568.0,0.8458042,0.9334606,176.0,265.0,0.33522486267285745,1165.0,1254.0
7,0.9056799,0.9619607,290.0,258.0,0.24714488832988551,0.001,2647.0,2615.0,0.8566434,0.94241846,221.0,189.0,0.30956048787395646,1241.0,1209.0
8,0.9027539,0.9594671,288.0,277.0,0.2566457039022597,0.001,2628.0,2617.0,0.8954545,0.96313673,233.0,66.0,0.30842044596052304,1364.0,1197.0
9,0.9056799,0.9645276,296.0,252.0,0.23714862888752644,0.001,2653.0,2609.0,0.88041955,0.96460897,312.0,30.0,0.3173750232371104,1400.0,1118.0
10,0.91738385,0.97016865,260.0,220.0,0.21731294619429234,0.001,2685.0,2645.0,0.87552446,0.9587146,101.0,255.0,0.27080386409444823,1175.0,1329.0
11,0.91996557,0.9731553,247.0,218.0,0.20574385362313402,0.001,2687.0,2658.0,0.9020979,0.96396405,109.0,171.0,0.2694771033044175,1259.0,1321.0
12,0.91858864,0.97121733,259.0,214.0,0.2127827884799283,0.001,2691.0,2646.0,0.8832168,0.95268506,231.0,103.0,0.28215030598994734,1327.0,1199.0
13,0.924957,0.97457194,241.0,195.0,0.19741436866654657,0.001,2710.0,2664.0,0.89195806,0.957692,164.0,145.0,0.27895198923932923,1285.0,1266.0
14,0.91858864,0.973777,244.0,229.0,0.20536582206701298,0.001,2676.0,2661.0,0.89580417,0.9634132,204.0,94.0,0.2545507153678503,1336.0,1226.0
15,0.9244406,0.9747077,246.0,193.0,0.1994073207581515,0.001,2712.0,2659.0,0.83076924,0.97418827,27.0,457.0,0.36346784924397935,973.0,1403.0
16,0.92547333,0.9763343,231.0,202.0,0.19450041768662055,0.001,2703.0,2674.0,0.88076925,0.96367276,309.0,32.0,0.37791675118276835,1398.0,1121.0
17,0.9361446,0.9806583,192.0,179.0,0.1717996384953301,0.001,2726.0,2713.0,0.83916086,0.93848485,122.0,338.0,0.41843787307844504,1092.0,1308.0
18,0.9283993,0.97932684,215.0,201.0,0.1805989389694913,0.001,2704.0,2690.0,0.9097902,0.9742812,145.0,113.0,0.2222122017789137,1317.0,1285.0
19,0.93993115,0.9841761,185.0,164.0,0.15633112634452007,0.001,2741.0,2720.0,0.92237765,0.9744949,152.0,70.0,0.22726784848569,1360.0,1278.0
20,0.935284,0.9818908,204.0,172.0,0.16817795315985015,0.001,2733.0,2701.0,0.8758741,0.9736979,346.0,9.0,0.34536241481839386,1421.0,1084.0
21,0.94096386,0.9853481,194.0,149.0,0.1529689907648748,0.001,2756.0,2711.0,0.88671327,0.97300744,45.0,279.0,0.29541329885311945,1151.0,1385.0
22,0.94096386,0.9841013,177.0,166.0,0.1566147630968734,0.001,2739.0,2728.0,0.8797203,0.96917945,65.0,279.0,0.2978273728403256,1151.0,1365.0
23,0.93993115,0.98332095,190.0,159.0,0.15984942868076227,0.001,2746.0,2715.0,0.9083916,0.97435325,63.0,199.0,0.22879771358444245,1231.0,1367.0
24,0.9407917,0.9837543,180.0,164.0,0.15757190683682684,0.001,2741.0,2725.0,0.88566434,0.9547393,221.0,106.0,0.2737906164965117,1324.0,1209.0
25,0.9469879,0.9872221,160.0,148.0,0.1414728163524728,0.001,2757.0,2745.0,0.8902098,0.9657262,268.0,46.0,0.31787683524132765,1384.0,1162.0
26,0.9423408,0.9851932,174.0,161.0,0.15131636713513233,0.001,2744.0,2731.0,0.936014,0.979923,94.0,89.0,0.17115040022189487,1341.0,1336.0
27,0.9390706,0.9839453,185.0,169.0,0.1601260551223419,0.001,2736.0,2720.0,0.9248252,0.97361267,134.0,81.0,0.22143567367672587,1349.0,1296.0
28,0.9557659,0.98905176,137.0,120.0,0.1251991973339705,0.001,2785.0,2768.0,0.91993004,0.9725771,130.0,99.0,0.21213509974320635,1331.0,1300.0
29,0.94716007,0.98684,153.0,154.0,0.14362999374085392,0.001,2751.0,2752.0,0.92027974,0.9782903,97.0,131.0,0.20070530014711765,1299.0,1333.0
30,0.9469879,0.9885049,157.0,151.0,0.13425414683798204,0.001,2754.0,2748.0,0.92237765,0.9779811,111.0,111.0,0.19707513914664987,1319.0,1319.0
31,0.95335627,0.99129754,144.0,127.0,0.11550087433497913,0.001,2778.0,2761.0,0.9188811,0.9773438,90.0,142.0,0.20258470443793788,1288.0,1340.0
32,0.9492255,0.9874356,149.0,146.0,0.13832010195222674,0.001,2759.0,2756.0,0.92342657,0.97725046,124.0,95.0,0.1975954022853622,1335.0,1306.0
33,0.9538726,0.989739,136.0,132.0,0.12484305014708777,0.001,2773.0,2769.0,0.9237762,0.97463715,147.0,71.0,0.24331615071845897,1359.0,1283.0
34,0.9504303,0.98916364,149.0,139.0,0.12896647023932933,0.001,2766.0,2756.0,0.8758741,0.9642604,306.0,49.0,0.3255768605162735,1381.0,1124.0
35,0.9535284,0.98940516,138.0,132.0,0.12566248005508124,0.001,2773.0,2767.0,0.913986,0.97097427,140.0,106.0,0.22749447757768984,1324.0,1290.0
36,0.95886403,0.99080676,128.0,111.0,0.11694468299106081,0.001,2794.0,2777.0,0.91083914,0.9683934,231.0,24.0,0.32171109520511293,1406.0,1199.0
37,0.95335627,0.99140626,139.0,132.0,0.11571824870329982,0.001,2773.0,2766.0,0.9276224,0.9759072,160.0,47.0,0.2262430783830623,1383.0,1270.0
38,0.951463,0.98904103,138.0,144.0,0.1287871765219462,0.001,2761.0,2767.0,0.93041956,0.97559196,155.0,44.0,0.21445297034232635,1386.0,1275.0
39,0.9614458,0.99156046,120.0,104.0,0.11003236081623496,0.001,2801.0,2785.0,0.9195804,0.97852033,195.0,35.0,0.23142121291607032,1395.0,1235.0
40,0.9629948,0.991943,123.0,92.0,0.10850979858751308,0.001,2813.0,2782.0,0.9167832,0.9692536,144.0,94.0,0.2625795397414969,1336.0,1286.0
41,0.9633391,0.9922276,120.0,93.0,0.10582660285849364,0.001,2812.0,2785.0,0.9286713,0.9806892,158.0,46.0,0.21811117277475778,1384.0,1272.0
42,0.96196216,0.9935204,108.0,113.0,0.09810708039828933,0.001,2792.0,2797.0,0.92202795,0.9778097,202.0,21.0,0.2676243079546188,1409.0,1228.0
43,0.9567986,0.99212074,137.0,114.0,0.11006087740029552,0.001,2791.0,2768.0,0.9167832,0.9707649,184.0,54.0,0.2599731643901571,1376.0,1246.0
44,0.9614458,0.992241,125.0,99.0,0.10683061951551372,0.001,2806.0,2780.0,0.9185315,0.98013914,176.0,57.0,0.21245345382884445,1373.0,1254.0
45,0.9607573,0.99287146,123.0,105.0,0.10053209117367527,0.001,2800.0,2782.0,0.91713285,0.9772806,185.0,52.0,0.22852255665319418,1378.0,1245.0
46,0.95800346,0.9923506,130.0,114.0,0.10837121584907329,0.001,2791.0,2775.0,0.9300699,0.9812722,83.0,117.0,0.18241506021215834,1313.0,1347.0
47,0.97590363,0.9965107,74.0,66.0,0.07033574498737567,0.0003162278,2839.0,2831.0,0.94055945,0.98010045,124.0,46.0,0.20381334150198627,1384.0,1306.0
48,0.9748709,0.99647045,75.0,71.0,0.06965242162662023,0.0003162278,2834.0,2830.0,0.93776226,0.9826782,99.0,79.0,0.18151416247040994,1351.0,1331.0
49,0.9728055,0.99709314,83.0,75.0,0.06737486112519328,0.0003162278,2830.0,2822.0,0.93776226,0.9812692,127.0,51.0,0.1978093739349928,1379.0,1303.0
50,0.9781411,0.9960923,68.0,59.0,0.06667351909580407,0.0003162278,2846.0,2837.0,0.94475526,0.983383,74.0,84.0,0.18569931395116207,1346.0,1356.0
51,0.9767642,0.9960838,66.0,69.0,0.06699897631206082,0.0003162278,2836.0,2839.0,0.94160837,0.9813171,101.0,66.0,0.1892316562875717,1364.0,1329.0
