epoch,acc,auc,fn,fp,loss,lr,tn,tp,val_acc,val_auc,val_fn,val_fp,val_loss,val_tn,val_tp
0,0.8271667,0.88359046,673.0,364.0,0.4274456140833596,0.001,2636.0,2327.0,0.480339,0.3779847,1046.0,487.0,1.2958792052026522,988.0,429.0
1,0.66316664,0.7250441,1195.0,826.0,0.6061942741274834,0.001,2174.0,1805.0,0.56271183,0.6113988,1139.0,151.0,0.7973323947292263,1324.0,336.0
2,0.63233334,0.6741631,1119.0,1087.0,0.6532042313118775,0.001,1913.0,1881.0,0.6755932,0.72050697,726.0,231.0,0.6312988545935033,1244.0,749.0
3,0.64416665,0.71711135,1027.0,1108.0,0.6156261624147494,0.001,1892.0,1973.0,0.5271186,0.550343,446.0,949.0,0.70888559717243,526.0,1029.0
4,0.5798333,0.63467693,1268.0,1253.0,0.6632960838576157,0.001,1747.0,1732.0,0.4915254,0.51502097,711.0,789.0,0.7238114585310725,686.0,764.0
5,0.67483336,0.7430447,1021.0,930.0,0.5934193188945452,0.001,2070.0,1979.0,0.5844068,0.63187176,654.0,572.0,0.6821495605727373,903.0,821.0
6,0.6155,0.67510766,1198.0,1109.0,0.6427256734172503,0.001,1891.0,1802.0,0.5162712,0.5334389,567.0,860.0,0.7832705808898149,615.0,908.0
0,0.5885,0.6169367,1611.0,858.0,0.6666031812131404,0.001,2142.0,1389.0,0.6183051,0.66973996,1003.0,123.0,0.6403636648493298,1352.0,472.0
1,0.6228333,0.67216504,1482.0,781.0,0.6368141951660315,0.001,2219.0,1518.0,0.6471186,0.69743156,904.0,137.0,0.6233218315294233,1338.0,571.0
2,0.6575,0.712764,1267.0,788.0,0.6105497801303863,0.001,2212.0,1733.0,0.6471186,0.70021814,740.0,301.0,0.6207081738164869,1174.0,735.0
3,0.6591667,0.71832275,1345.0,700.0,0.6015319046378136,0.001,2300.0,1655.0,0.6444068,0.71049213,868.0,181.0,0.6153042256832123,1294.0,607.0
4,0.677,0.7472631,1223.0,715.0,0.5817121298114458,0.001,2285.0,1777.0,0.55694914,0.65802544,227.0,1080.0,0.7029562227806803,395.0,1248.0
5,0.6745,0.74027514,1307.0,646.0,0.5843043865263462,0.001,2354.0,1693.0,0.66372883,0.7160742,854.0,138.0,0.6045985395625486,1337.0,621.0
6,0.67233336,0.73930967,1269.0,697.0,0.5874750303725401,0.001,2303.0,1731.0,0.64949155,0.715883,934.0,100.0,0.62604433277906,1375.0,541.0
7,0.69416666,0.76284254,1163.0,672.0,0.5661850640177727,0.001,2328.0,1837.0,0.67762715,0.73437405,719.0,232.0,0.5831960918539661,1243.0,756.0
8,0.6993333,0.76279795,1157.0,647.0,0.5657625201841195,0.001,2353.0,1843.0,0.6708475,0.7319217,609.0,362.0,0.5905687165967489,1113.0,866.0
9,0.70316666,0.7653371,1121.0,660.0,0.5629561663170656,0.001,2340.0,1879.0,0.68135595,0.73896444,739.0,201.0,0.5921446511300944,1274.0,736.0
10,0.694,0.7638391,1169.0,667.0,0.5649571006000041,0.001,2333.0,1831.0,0.6708475,0.7370409,814.0,157.0,0.5863646519386162,1318.0,661.0
11,0.7035,0.77650094,1111.0,668.0,0.5539332104971012,0.001,2332.0,1889.0,0.68915254,0.76223516,770.0,147.0,0.5699582754555396,1328.0,705.0
12,0.71566665,0.78537035,1090.0,616.0,0.5449605886886517,0.001,2384.0,1910.0,0.69457626,0.7568001,684.0,217.0,0.5710502771502834,1258.0,791.0
13,0.7043333,0.77199596,1147.0,627.0,0.5558693496634562,0.001,2373.0,1853.0,0.6905085,0.75683427,532.0,381.0,0.5865690367706752,1094.0,943.0
14,0.706,0.77932334,1153.0,611.0,0.5488776965190967,0.001,2389.0,1847.0,0.6772881,0.74292976,781.0,171.0,0.5817797814385366,1304.0,694.0
15,0.7085,0.7751342,1124.0,625.0,0.5532772298653921,0.001,2375.0,1876.0,0.68542373,0.7589719,801.0,127.0,0.5725533352564958,1348.0,674.0
