,ID,is_lens
4719,200001,True
5721,200002,True
3090,200003,False
4786,200004,True
2874,200005,True
3000,200006,True
690,200007,True
3600,200008,False
7003,200009,True
613,200010,True
604,200011,True
2666,200012,True
6935,200013,True
1728,200014,False
672,200015,True
6587,200016,False
1181,200017,True
2938,200018,True
5443,200019,True
5158,200020,True
5162,200021,True
7185,200022,True
5981,200023,True
6623,200024,True
5892,200025,True
9961,200026,True
8315,200027,True
3302,200028,True
7670,200029,True
5886,200030,True
7591,200031,True
3024,200032,True
4875,200033,True
2649,200034,True
3822,200035,True
639,200036,True
5940,200037,True
552,200038,True
2702,200039,False
4789,200040,True
5976,200041,True
3278,200042,True
956,200043,True
6278,200044,False
7034,200045,True
5528,200046,True
2522,200047,True
9978,200048,True
9173,200049,True
3887,200050,True
6598,200051,True
474,200052,True
361,200053,True
1440,200054,True
2700,200055,True
2707,200056,True
3313,200057,True
9562,200058,True
4060,200059,True
4644,200060,True
8726,200061,True
8577,200062,True
1595,200063,True
2363,200064,True
4216,200065,True
8409,200066,True
1115,200067,False
4484,200068,True
2034,200069,True
9612,200070,True
7026,200071,False
9428,200072,True
5173,200073,True
1142,200074,True
6265,200075,True
2057,200076,False
55,200077,True
3324,200078,True
9478,200079,True
1224,200080,True
5788,200081,True
2692,200082,True
350,200083,True
4376,200084,True
2781,200085,True
9394,200086,True
8836,200087,False
65,200088,True
6979,200089,False
8178,200090,True
5048,200091,True
4677,200092,True
9401,200093,True
1092,200094,True
8154,200095,True
3541,200096,True
3427,200097,True
6469,200098,True
8098,200099,True
5150,200100,True
612,200101,True
2968,200102,True
7595,200103,True
4562,200104,True
4757,200105,True
8326,200106,True
9357,200107,True
7864,200108,True
3353,200109,True
6760,200110,True
5280,200111,True
227,200112,True
195,200113,False
4678,200114,True
988,200115,True
516,200116,False
9694,200117,True
8083,200118,True
3533,200119,True
8849,200120,True
8552,200121,True
210,200122,True
1643,200123,True
1279,200124,True
1183,200125,False
5669,200126,True
6771,200127,True
5640,200128,False
7734,200129,True
3162,200130,True
1130,200131,True
9500,200132,True
1125,200133,True
5840,200134,True
5382,200135,True
4494,200136,True
299,200137,True
3532,200138,True
3775,200139,False
565,200140,False
6068,200141,True
1393,200142,True
2343,200143,True
1264,200144,True
4530,200145,True
5869,200146,True
5507,200147,True
4635,200148,True
1011,200149,True
4957,200150,True
9623,200151,True
379,200152,True
2783,200153,True
9471,200154,True
9837,200155,True
6671,200156,True
2420,200157,True
